,Location,"Number of households
 in area5 (000s)","Households assessed as threatened with homelessness
per (000s)","Households assessed as homeless
per (000s)"
6,ENGLAND,"24,140", 1.59 , 1.99 
7,London,"3,660", 2.03 , 2.85 
8,Rest of England,"20,480", 1.51 , 1.84 
10,North East,"1,200", 2.01 , 2.62 
11,North West,"3,230", 1.69 , 2.25 
12,Yorkshire and The Humber,"2,380", 1.64 , 1.75 
13,East Midlands,"2,110", 1.29 , 1.66 
14,West Midlands,"2,520", 1.26 , 2.09 
15,East of England,"2,670", 1.51 , 1.60 
16,London,"3,660", 2.03 , 2.85 
17,South East,"3,910", 1.51 , 1.47 
18,South West,"2,460", 1.39 , 1.74 
20,Adur,29,0.52,1.42
21,Amber Valley,59,1.61,0.89
22,Arun,76,1.61,2.11
23,Ashfield,59,1.46,1.04
24,Ashford,58,1.62,2.17
25,Babergh,42,2.27,0.99
26,Barking & Dagenham,80,2.81,1.33
27,Barnet,157,2.53,2.84
28,Barnsley,114,0.87,1.17
29,Basildon,79,0.65,1.73
30,Basingstoke & Deane,75,1.09,0.41
31,Bassetlaw,52,1.45,1.17
32,Bath & North East Somerset,82,1.09,0.70
33,Bedford,74,1.68,3.74
34,Bexley,102,1.98,0.62
35,Birmingham,433,2.00,2.29
36,Blaby,46,1.74,1.35
37,Blackburn with Darwen,58,1.95,3.00
38,Blackpool,63,4.23,4.74
39,Bolsover,37,1.64,0.97
40,Bolton,123,2.27,3.40
41,Boston,30,1.71,0.72
42,"Bournemouth, Christchurch and Poole",177,1.92,2.03
43,Bracknell Forest,52,1.93,0.64
44,Bradford,209,1.09,1.76
45,Braintree,66,0.89,0.36
46,Breckland,63,0.69,2.22
47,Brent,120,..,..
48,Brentwood,31,0.70,0.38
49,Brighton & Hove,128,0.98,2.10
50,Bristol,201,0.82,3.18
51,Broadland,59,0.85,1.10
52,Bromley,144,1.10,2.22
53,Bromsgrove,43,1.39,0.84
54,Broxbourne,40,1.14,2.45
55,Broxtowe,50,0.81,0.46
56,Buckinghamshire,223,1.98,0.82
57,Burnley,39,2.05,3.07
58,Bury,83,1.71,2.15
59,Calderdale,96,2.24,0.83
60,Cambridge,44,1.35,2.72
61,Camden,119,0.63,2.18
62,Cannock Chase,46,0.57,0.53
63,Canterbury,69,0.33,1.87
64,Castle Point,38,0.77,0.98
65,Central Bedfordshire,125,1.18,1.13
66,Charnwood,78,0.11,0.89
67,Chelmsford,77,1.75,1.63
68,Cheltenham,53,1.75,1.64
